t_sim,q1,q2,q3,q4,q5,q6,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,tau1,tau2,tau3,tau4,tau5,tau6,tracking_error,box_x,box_y,box_z
0.0000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.2000,0.0000,0.5200
0.0200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000001,0.000000,-0.000000,0.000000,0.000135,-0.000117,-0.000398,0.000006,-0.000140,0.000040,0.000002,0.2000,0.0000,0.5178
0.0400,0.000004,-0.000000,-0.000001,0.000002,-0.000007,0.000004,0.000004,-0.000003,-0.000011,0.000000,-0.000004,0.000001,0.000536,-0.000464,-0.001580,0.000021,-0.000554,0.000155,0.000012,0.2000,0.0000,0.5118
0.0600,0.000022,-0.000003,-0.000004,0.000013,-0.000040,0.000023,0.000012,-0.000010,-0.000036,0.000000,-0.000013,0.000004,0.001193,-0.001036,-0.003530,0.000047,-0.001236,0.000342,0.000050,0.2000,0.0000,0.5018
0.0800,0.000064,-0.000008,-0.000012,0.000039,-0.000123,0.000070,0.000029,-0.000025,-0.000084,0.000001,-0.000030,0.000008,0.002101,-0.001830,-0.006234,0.000081,-0.002179,0.000599,0.000144,0.2000,0.0000,0.4878
0.1000,0.000141,-0.000018,-0.000031,0.000090,-0.000283,0.000158,0.000056,-0.000048,-0.000163,0.000002,-0.000057,0.000016,0.003255,-0.002840,-0.009674,0.000125,-0.003377,0.000924,0.000323,0.2000,0.0000,0.4750
0.1200,0.000261,-0.000035,-0.000064,0.000173,-0.000550,0.000299,0.000095,-0.000082,-0.000280,0.000004,-0.000099,0.000028,0.004649,-0.004061,-0.013836,0.000176,-0.004824,0.001315,0.000619,0.2000,0.0000,0.4752
0.1400,0.000435,-0.000061,-0.000118,0.000299,-0.000952,0.000508,0.000151,-0.000130,-0.000443,0.000006,-0.000156,0.000044,0.006279,-0.005490,-0.018703,0.000236,-0.006514,0.001770,0.001061,0.2000,0.0000,0.4772
0.1600,0.000672,-0.000098,-0.000200,0.000477,-0.001520,0.000797,0.000224,-0.000193,-0.000657,0.000009,-0.000231,0.000066,0.008139,-0.007121,-0.024262,0.000304,-0.008443,0.002289,0.001683,0.2000,0.0000,0.4785
0.1800,0.000982,-0.000149,-0.000317,0.000716,-0.002285,0.001179,0.000317,-0.000273,-0.000931,0.000013,-0.000328,0.000093,0.010224,-0.008950,-0.030496,0.000378,-0.010602,0.002868,0.002518,0.2000,0.0000,0.4792
0.2000,0.001373,-0.000215,-0.000479,0.001028,-0.003282,0.001668,0.000433,-0.000373,-0.001271,0.000018,-0.000447,0.000127,0.012528,-0.010973,-0.037390,0.000460,-0.012988,0.003507,0.003601,0.2000,0.0000,0.4796
0.2200,0.001854,-0.000301,-0.000695,0.001424,-0.004546,0.002277,0.000573,-0.000494,-0.001683,0.000023,-0.000592,0.000168,0.015046,-0.013185,-0.044930,0.000548,-0.015593,0.004203,0.004970,0.2000,0.0000,0.4798
0.2400,0.002434,-0.000408,-0.000977,0.001916,-0.006113,0.003020,0.000741,-0.000638,-0.002174,0.000030,-0.000765,0.000217,0.017774,-0.015582,-0.053100,0.000642,-0.018413,0.004956,0.006661,0.2000,0.0000,0.4798
0.2600,0.003122,-0.000541,-0.001336,0.002518,-0.008022,0.003910,0.000937,-0.000807,-0.002750,0.000038,-0.000967,0.000274,0.020706,-0.018159,-0.061886,0.000742,-0.021441,0.005764,0.008716,0.2000,0.0000,0.4799
0.2800,0.003925,-0.000702,-0.001786,0.003242,-0.010313,0.004961,0.001164,-0.001003,-0.003417,0.000047,-0.001202,0.000341,0.023838,-0.020912,-0.071273,0.000847,-0.024671,0.006626,0.011177,0.2000,0.0000,0.4799
0.3000,0.004852,-0.000896,-0.002341,0.004104,-0.013027,0.006187,0.001424,-0.001228,-0.004181,0.000058,-0.001471,0.000417,0.027164,-0.023837,-0.081246,0.000957,-0.028099,0.007540,0.014087,0.2000,0.0000,0.4799
0.3200,0.005910,-0.001127,-0.003016,0.005120,-0.016213,0.007603,0.001720,-0.001482,-0.005048,0.000070,-0.001776,0.000503,0.030680,-0.026930,-0.091791,0.001071,-0.031716,0.008506,0.017496,0.2000,0.0000,0.4799
0.3400,0.007107,-0.001399,-0.003829,0.006306,-0.019910,0.009221,0.002052,-0.001769,-0.006023,0.000083,-0.002119,0.000601,0.034381,-0.030186,-0.102894,0.001189,-0.035520,0.009521,0.021449,0.2000,0.0000,0.4799
0.3600,0.008450,-0.001718,-0.004797,0.007682,-0.024167,0.011056,0.002423,-0.002088,-0.007113,0.000099,-0.002502,0.000709,0.038262,-0.033600,-0.114541,0.001310,-0.039502,0.010586,0.025995,0.2000,0.0000,0.4799
0.3800,0.009947,-0.002087,-0.005940,0.009269,-0.029033,0.013123,0.002835,-0.002443,-0.008322,0.000115,-0.002928,0.000830,0.042318,-0.037170,-0.126717,0.001434,-0.043658,0.011700,0.031190,0.2000,0.0000,0.4799
0.4000,0.011605,-0.002514,-0.007279,0.011088,-0.034561,0.015437,0.003290,-0.002835,-0.009655,0.000134,-0.003397,0.000963,0.046545,-0.040890,-0.139408,0.001560,-0.047982,0.012862,0.037089,0.2000,0.0000,0.4799
0.4200,0.013431,-0.003005,-0.008838,0.013166,-0.040808,0.018011,0.003788,-0.003265,-0.011119,0.000154,-0.003912,0.001109,0.050939,-0.044756,-0.152600,0.001687,-0.052468,0.014071,0.043756,0.2000,0.0000,0.4799
0.4400,0.015430,-0.003565,-0.010641,0.015527,-0.047834,0.020862,0.004333,-0.003734,-0.012717,0.000176,-0.004474,0.001268,0.055495,-0.048765,-0.166281,0.001816,-0.057110,0.015329,0.051256,0.2000,0.0000,0.4799
0.4600,0.017611,-0.004202,-0.012716,0.018201,-0.055703,0.024003,0.004925,-0.004244,-0.014454,0.000200,-0.005085,0.001441,0.060209,-0.052913,-0.180435,0.001945,-0.061903,0.016634,0.059659,0.2000,0.0000,0.4799
0.4800,0.019979,-0.004923,-0.015090,0.021218,-0.064482,0.027451,0.005566,-0.004797,-0.016336,0.000226,-0.005747,0.001629,0.065076,-0.057194,-0.195050,0.002074,-0.066841,0.017988,0.069039,0.2000,0.0000,0.4799
0.5000,0.022539,-0.005736,-0.017795,0.024612,-0.074242,0.031219,0.006258,-0.005393,-0.018367,0.000254,-0.006461,0.001832,0.070092,-0.061606,-0.210113,0.002203,-0.071920,0.019392,0.079477,0.2000,0.0000,0.4799
0.5200,0.025298,-0.006649,-0.020866,0.028424,-0.085186,0.035325,0.007002,-0.006034,-0.020551,0.000285,-0.007230,0.002049,0.075260,-0.066150,-0.225609,0.002364,-0.077231,0.020843,0.091168,0.2000,0.0000,0.4799
0.5400,0.028258,-0.007660,-0.024338,0.032650,-0.097501,0.039783,0.007800,-0.006722,-0.022892,0.000317,-0.008053,0.002283,0.080559,-0.070810,-0.241526,0.002483,-0.082555,0.022345,0.104279,0.2000,0.0000,0.4799
0.5600,0.031430,-0.008783,-0.028252,0.037308,-0.110957,0.044610,0.008653,-0.007457,-0.025395,0.000352,-0.008934,0.002532,0.085995,-0.075590,-0.257851,0.002611,-0.088032,0.023896,0.118633,0.2000,0.0000,0.4799
0.5800,0.034818,-0.010036,-0.032649,0.042473,-0.125682,0.049821,0.009562,-0.008240,-0.028064,0.000389,-0.009873,0.002799,0.091562,-0.080485,-0.274571,0.002736,-0.093630,0.025500,0.134373,0.2000,0.0000,0.4799
0.6000,0.038427,-0.011430,-0.037577,0.048202,-0.141808,0.055430,0.010529,-0.009074,-0.030902,0.000428,-0.010871,0.003082,0.097256,-0.085491,-0.291673,0.002860,-0.099346,0.027160,0.151643,0.2000,0.0000,0.4799
0.6200,0.042259,-0.012979,-0.043085,0.054544,-0.159446,0.061451,0.011555,-0.009958,-0.033913,0.000470,-0.011931,0.003382,0.103073,-0.090605,-0.309144,0.002981,-0.105178,0.028877,0.170566,0.2000,0.0000,0.4799
0.6400,0.046319,-0.014693,-0.049228,0.061550,-0.178697,0.067898,0.012641,-0.010894,-0.037101,0.000514,-0.013052,0.003700,0.109010,-0.095823,-0.326973,0.003102,-0.111127,0.030653,0.191260,0.2000,0.0000,0.4799
0.6600,0.050610,-0.016588,-0.056065,0.069273,-0.199662,0.074783,0.013789,-0.011883,-0.040470,0.000561,-0.014237,0.004036,0.115063,-0.101142,-0.345146,0.003224,-0.117190,0.032490,0.213845,0.2000,0.0000,0.4799
0.6800,0.055106,-0.018662,-0.063662,0.077778,-0.223449,0.082122,0.014999,-0.012926,-0.044022,0.000610,-0.015487,0.004390,0.121234,-0.106560,-0.363650,0.003358,-0.123401,0.034376,0.239317,0.2000,0.0000,0.4799
0.7000,0.059838,-0.020902,-0.072090,0.086888,-0.249366,0.089939,0.016273,-0.014024,-0.047762,0.000662,-0.016803,0.004763,0.127504,-0.112069,-0.382472,0.003474,-0.129664,0.036304,0.267045,0.2000,0.0000,0.4799
0.7200,0.064832,-0.023359,-0.081424,0.096732,-0.276896,0.098237,0.017612,-0.015178,-0.051691,0.000716,-0.018185,0.005155,0.133884,-0.117671,-0.401601,0.003605,-0.136077,0.038276,0.296640,0.2000,0.0000,0.4799
0.7400,0.070075,-0.026074,-0.091750,0.107482,-0.306332,0.107015,0.019017,-0.016389,-0.055814,0.000773,-0.019635,0.005566,0.140370,-0.123361,-0.421024,0.003739,-0.142601,0.040300,0.328430,0.2000,0.0000,0.4799
0.7600,0.075563,-0.029071,-0.103160,0.119238,-0.337906,0.116276,0.020488,-0.017657,-0.060133,0.000833,-0.021155,0.005997,0.146963,-0.129134,-0.440729,0.003879,-0.149239,0.042366,0.362667,0.2000,0.0000,0.4799
0.7800,0.081291,-0.032369,-0.115756,0.132065,-0.371751,0.126017,0.022028,-0.018983,-0.064650,0.000895,-0.022744,0.006447,0.153669,-0.134990,-0.460703,0.004030,-0.155998,0.044466,0.399514,0.2000,0.0000,0.4799
0.8000,0.087260,-0.035990,-0.129650,0.146027,-0.407947,0.136233,0.023635,-0.020369,-0.069369,0.000961,-0.024404,0.006918,0.160491,-0.140924,-0.480935,0.004194,-0.162881,0.046584,0.439087,0.2000,0.0000,0.4799
0.8200,0.093469,-0.039958,-0.144969,0.161187,-0.446548,0.146912,0.025313,-0.021814,-0.074292,0.001029,-0.026136,0.007409,0.167437,-0.146933,-0.501409,0.004376,-0.169890,0.048701,0.481485,0.2000,0.0000,0.4799
0.8400,0.099916,-0.044299,-0.161850,0.177608,-0.487584,0.158035,0.027060,-0.023320,-0.079421,0.001100,-0.027940,0.007920,0.174513,-0.153013,-0.522114,0.004580,-0.177027,0.050794,0.526787,0.2000,0.0000,0.4799
0.8600,0.106599,-0.049044,-0.180449,0.195357,-0.531060,0.169574,0.028879,-0.024888,-0.084759,0.001174,-0.029818,0.008452,0.181727,-0.159162,-0.543036,0.004812,-0.184289,0.052836,0.575058,0.2000,0.0000,0.4799
0.8800,0.113514,-0.054224,-0.200940,0.214494,-0.576950,0.181494,0.030770,-0.026517,-0.090307,0.001251,-0.031770,0.009006,0.189085,-0.165375,-0.564162,0.005077,-0.191674,0.054796,0.626338,0.2000,0.0000,0.4799
0.9000,0.120655,-0.059874,-0.223517,0.235074,-0.625190,0.193748,0.032733,-0.028209,-0.096069,0.001331,-0.033797,0.009580,0.196592,-0.171647,-0.585477,0.005380,-0.199177,0.056647,0.680644,0.2000,0.0000,0.4799
0.9200,0.128018,-0.066028,-0.248402,0.257143,-0.675672,0.206282,0.034769,-0.029963,-0.102045,0.001413,-0.035900,0.010176,0.204246,-0.177975,-0.606968,0.005727,-0.206789,0.058363,0.737956,0.2000,0.0000,0.4799
0.9400,0.135591,-0.072723,-0.275842,0.280731,-0.728233,0.219029,0.036879,-0.031782,-0.108238,0.001499,-0.038078,0.010794,0.212040,-0.184354,-0.628624,0.006121,-0.214498,0.059927,0.798221,0.2000,0.0000,0.4799
0.9600,0.143363,-0.079997,-0.306119,0.305846,-0.782649,0.231919,0.039063,-0.033664,-0.114649,0.001588,-0.040334,0.011433,0.219960,-0.190780,-0.650431,0.006566,-0.222289,0.061333,0.861339,0.2000,0.0000,0.4799
0.9800,0.151318,-0.087886,-0.339554,0.332469,-0.838623,0.244869,0.041323,-0.035611,-0.121280,0.001680,-0.042666,0.012094,0.227982,-0.197247,-0.672380,0.007060,-0.230146,0.062591,0.927161,0.2000,0.0000,0.4799
1.0000,0.159433,-0.096425,-0.376508,0.360537,-0.895777,0.257798,0.043657,-0.037623,-0.128133,0.001775,-0.045077,0.012778,0.236078,-0.203752,-0.694460,0.007599,-0.238048,0.063727,0.995484,0.2000,0.0000,0.4799
1.0200,0.167677,-0.105644,-0.417392,0.389932,-0.953637,0.270619,0.046068,-0.039701,-0.135208,0.001873,-0.047566,0.013483,0.244217,-0.210291,-0.716663,0.008175,-0.245979,0.064782,1.066038,0.2000,0.0000,0.4799
1.0400,0.176007,-0.115571,-0.462663,0.420457,-1.011625,0.283247,0.048555,-0.041844,-0.142508,0.001974,-0.050134,0.014211,0.252365,-0.216861,-0.738982,0.008776,-0.253923,0.065806,1.138486,0.2000,0.0000,0.4799
1.0600,0.184366,-0.126220,-0.512831,0.451814,-1.069049,0.295598,0.051119,-0.044054,-0.150032,0.002078,-0.052781,0.014962,0.260493,-0.223460,-0.761412,0.009390,-0.261869,0.066852,1.212414,0.2000,0.0000,0.4799
1.0800,0.192671,-0.137601,-0.568450,0.483569,-1.125098,0.307591,0.053760,-0.046330,-0.157784,0.002185,-0.055508,0.015735,0.268579,-0.230084,-0.783945,0.010000,-0.269810,0.067969,1.287325,0.2000,0.0000,0.4799
1.1000,0.200811,-0.149708,-0.630103,0.515114,-1.178838,0.319140,0.056478,-0.048672,-0.165762,0.002296,-0.058315,0.016530,0.276609,-0.236733,-0.806575,0.010594,-0.277746,0.069195,1.362637,0.2000,0.0000,0.4799
1.1200,0.208634,-0.162523,-0.698373,0.545626,-1.229213,0.330152,0.059275,-0.051082,-0.173969,0.002410,-0.061202,0.017349,0.284576,-0.243404,-0.829296,0.011157,-0.285684,0.070554,1.437674,0.2000,0.0000,0.4799
1.1400,0.215936,-0.176019,-0.773797,0.574021,-1.275056,0.340514,0.062149,-0.053559,-0.182404,0.002526,-0.064170,0.018190,0.292479,-0.250094,-0.852098,0.011680,-0.293630,0.072052,1.511667,0.2000,0.0000,0.4799
1.1600,0.222449,-0.190162,-0.856786,0.598924,-1.315106,0.350079,0.065101,-0.056104,-0.191070,0.002646,-0.067218,0.019054,0.300322,-0.256803,-0.874973,0.012154,-0.301600,0.073685,1.583748,0.2000,0.0000,0.4799
1.1800,0.227835,-0.204922,-0.947528,0.618659,-1.348032,0.358656,0.068132,-0.058716,-0.199965,0.002770,-0.070348,0.019941,0.308111,-0.263526,-0.897909,0.012573,-0.309607,0.075437,1.652954,0.2000,0.0000,0.4799
1.2000,0.231672,-0.220285,-1.045869,0.631262,-1.372653,0.366003,0.071242,-0.061395,-0.209091,0.002896,-0.073558,0.020851,0.315882,-0.270261,-0.920896,0.012953,-0.317632,0.077251,1.718372,0.2000,0.0000,0.4799
1.2200,0.233503,-0.236251,-1.151195,0.634582,-1.388239,0.371870,0.074430,-0.064143,-0.218448,0.003026,-0.076850,0.021784,0.323584,-0.277011,-0.943925,0.013254,-0.325740,0.079214,1.779356,0.2000,0.0000,0.4799
1.2400,0.232917,-0.252858,-1.262397,0.626501,-1.393932,0.376080,0.077697,-0.066958,-0.228037,0.003158,-0.080223,0.022741,0.331270,-0.283769,-0.966983,0.013513,-0.333887,0.081231,1.835153,0.2000,0.0000,0.4799
1.2600,0.229530,-0.270190,-1.377904,0.605132,-1.388759,0.378553,0.081043,-0.069842,-0.237857,0.003294,-0.083678,0.023720,0.338961,-0.290532,-0.990063,0.013748,-0.342057,0.083291,1.885006,0.2000,0.0000,0.4799
1.2800,0.223194,-0.288423,-1.495922,0.569267,-1.368752,0.379312,0.084467,-0.072793,-0.247908,0.003434,-0.087214,0.024722,0.346718,-0.297284,-1.013158,0.014013,-0.350176,0.085232,1.926531,0.2000,0.0000,0.4799
1.3000,0.213078,-0.308014,-1.614449,0.518031,-1.326833,0.377550,0.087971,-0.075812,-0.258191,0.003576,-0.090832,0.025748,0.354360,-0.304050,-1.036251,0.014170,-0.358591,0.087471,1.955794,0.2000,0.0000,0.4799
1.3200,0.197956,-0.329366,-1.731588,0.450800,-1.270907,0.372848,0.091554,-0.078900,-0.268706,0.003722,-0.094531,0.026796,0.362123,-0.310796,-1.059390,0.014412,-0.366836,0.090001,1.979285,0.2000,0.0000,0.4799
1.3400,0.177862,-0.353159,-1.846466,0.368726,-1.202673,0.365740,0.095215,-0.082055,-0.279452,0.003871,-0.098311,0.027868,0.369937,-0.317526,-1.082527,0.014698,-0.375017,0.092556,2.000688,0.2000,0.0000,0.4799
1.3600,0.152699,-0.380578,-1.958823,0.273573,-1.123285,0.356617,0.098955,-0.085278,-0.290429,0.004023,-0.102173,0.028962,0.377785,-0.324243,-1.105640,0.015023,-0.383150,0.095098,2.023935,0.2000,0.0000,0.4799
1.3800,0.122481,-0.413403,-2.068951,0.167759,-1.035644,0.345715,0.102773,-0.088569,-0.301636,0.004178,-0.106116,0.030080,0.385655,-0.330954,-1.128707,0.015384,-0.391253,0.097605,2.054195,0.2000,0.0000,0.4799
1.4000,0.087812,-0.454008,-2.177595,0.054413,-0.944647,0.333308,0.106670,-0.091927,-0.313073,0.004336,-0.110139,0.031221,0.393538,-0.337666,-1.151700,0.015779,-0.399360,0.100043,2.097157,0.2000,0.0000,0.4799
1.4200,0.050221,-0.505177,-2.285693,-0.062914,-0.856587,0.319764,0.110646,-0.095353,-0.324741,0.004498,-0.114244,0.032384,0.401426,-0.344382,-1.174591,0.016200,-0.407507,0.102366,2.157578,0.2000,0.0000,0.4799
1.4400,0.006186,-0.573461,-2.380986,-0.183363,-0.788138,0.255877,0.114699,-0.098846,-0.336637,0.004663,-0.118429,0.033570,0.409193,-0.350658,-1.195090,0.017488,-0.418434,0.073389,2.224788,0.2000,0.0000,0.4799
1.4600,-0.049552,-0.684211,-2.400037,-0.306253,-0.784406,0.037370,0.118830,-0.102406,-0.348761,0.004830,-0.122694,0.034780,0.416934,-0.358337,-1.222176,0.016590,-0.424136,0.135670,2.260359,0.2000,0.0000,0.4799
1.4800,-0.065592,-0.818128,-2.385044,-0.373585,-0.858070,-0.023693,0.123038,-0.106033,-0.361113,0.005002,-0.127040,0.036011,0.424561,-0.365143,-1.245302,0.017062,-0.433020,0.143987,2.306568,0.2000,0.0000,0.4799
1.5000,-0.040983,-0.943118,-2.365740,-0.346466,-0.997992,0.093787,0.127324,-0.109727,-0.373691,0.005176,-0.131465,0.037266,0.432180,-0.370747,-1.266071,0.016904,-0.437158,0.119694,2.359839,0.2000,0.0000,0.4799
1.5200,-0.017810,-1.060639,-2.348129,-0.316193,-1.102736,0.233057,0.131687,-0.113486,-0.386495,0.005353,-0.135969,0.038542,0.439713,-0.377201,-1.288103,0.017560,-0.446289,0.115702,2.417296,0.2000,0.0000,0.4799
1.5400,0.000115,-1.173446,-2.330738,-0.297666,-1.218109,0.360079,0.136126,-0.117312,-0.399524,0.005534,-0.140553,0.039842,0.447391,-0.383565,-1.310497,0.018049,-0.453462,0.116749,2.493815,0.2000,0.0000,0.4799
1.5600,0.017609,-1.282578,-2.313976,-0.288420,-1.320079,0.477073,0.140641,-0.121203,-0.412776,0.005717,-0.145215,0.041163,0.455005,-0.389950,-1.332780,0.018566,-0.460760,0.117909,2.575913,0.2000,0.0000,0.4799
1.5800,0.036675,-1.389856,-2.298454,-0.284480,-1.407457,0.591850,0.145232,-0.125159,-0.426250,0.005904,-0.149955,0.042507,0.462576,-0.396308,-1.354940,0.019105,-0.467895,0.118740,2.661540,0.2000,0.0000,0.4799
1.6000,0.057987,-1.496553,-2.284316,-0.283740,-1.484886,0.708809,0.149898,-0.129181,-0.439946,0.006093,-0.154773,0.043873,0.470114,-0.402614,-1.376968,0.019700,-0.474746,0.118869,2.752308,0.2000,0.0000,0.4799
1.6200,0.081965,-1.603309,-2.271352,-0.285514,-1.555902,0.828380,0.154640,-0.133267,-0.453861,0.006286,-0.159668,0.045260,0.477618,-0.408878,-1.398896,0.020337,-0.481213,0.118717,2.849118,0.2000,0.0000,0.4799
1.6400,0.109082,-1.710363,-2.259306,-0.289720,-1.622608,0.949514,0.159455,-0.137416,-0.467994,0.006482,-0.164640,0.046670,0.485090,-0.415098,-1.420734,0.021009,-0.487159,0.118401,2.951954,0.2000,0.0000,0.4799
1.6600,0.139923,-1.817697,-2.248021,-0.296522,-1.686264,1.070841,0.164344,-0.141630,-0.482344,0.006681,-0.169689,0.048101,0.492534,-0.421272,-1.442487,0.021709,-0.492408,0.117934,3.060285,0.2000,0.0000,0.4799
1.6800,0.175193,-1.925106,-2.237501,-0.306248,-1.747348,1.190936,0.169307,-0.145907,-0.496909,0.006882,-0.174813,0.049553,0.499954,-0.427395,-1.464157,0.022434,-0.496771,0.117286,3.173156,0.2000,0.0000,0.4799
1.7000,0.215695,-2.032246,-2.227897,-0.319423,-1.805829,1.308152,0.174342,-0.150246,-0.511687,0.007087,-0.180012,0.051027,0.507364,-0.433459,-1.485746,0.023182,-0.499957,0.116392,3.289265,0.2000,0.0000,0.4799
1.7200,0.262292,-2.138666,-2.219470,-0.336858,-1.861313,1.420468,0.179450,-0.154648,-0.526677,0.007295,-0.185285,0.052522,0.514776,-0.439460,-1.507260,0.023931,-0.501671,0.115394,3.406982,0.2000,0.0000,0.4799
1.7400,0.315819,-2.243802,-2.212529,-0.359716,-1.913342,1.526384,0.184629,-0.159111,-0.541877,0.007505,-0.190633,0.054038,0.522199,-0.445392,-1.528695,0.024674,-0.501683,0.114247,3.524855,0.2000,0.0000,0.4799
1.7600,0.376938,-2.346918,-2.207282,-0.389435,-1.962039,1.624862,0.189878,-0.163635,-0.557286,0.007719,-0.196053,0.055574,0.529625,-0.451250,-1.550046,0.025418,-0.499863,0.112899,3.641882,0.2000,0.0000,0.4799
1.7800,0.445900,-2.447033,-2.203736,-0.427490,-2.008435,1.714905,0.195199,-0.168220,-0.572900,0.007935,-0.201547,0.057131,0.537039,-0.457026,-1.571309,0.026175,-0.496127,0.111352,3.757408,0.2000,0.0000,0.4799
1.8000,0.522200,-2.542844,-2.201638,-0.474894,-2.054504,1.793512,0.200588,-0.172865,-0.588719,0.008154,-0.207112,0.058709,0.544329,-0.462771,-1.592321,0.026702,-0.492204,0.112633,3.870075,0.2000,0.0000,0.4799
1.8200,0.565752,-2.590022,-2.204174,-0.512270,-2.090342,1.843370,0.206047,-0.177569,-0.604740,0.008376,-0.212748,0.060306,0.551234,-0.468354,-1.613439,0.028889,-0.486609,0.099516,3.934877,0.2000,0.0000,0.4799
1.8400,0.573281,-2.589934,-2.224395,-0.537007,-2.125285,1.844364,0.211574,-0.182332,-0.620960,0.008601,-0.218454,0.061924,0.557866,-0.474239,-1.633011,0.028932,-0.493732,0.109935,3.950843,0.2000,0.0000,0.4799
1.8600,0.577920,-2.585230,-2.258436,-0.568424,-2.169867,1.833879,0.217168,-0.187153,-0.637379,0.008828,-0.224230,0.063561,0.564575,-0.479834,-1.652794,0.030140,-0.495044,0.111871,3.970074,0.2000,0.0000,0.4799
1.8800,0.582753,-2.581446,-2.299702,-0.607954,-2.216224,1.826928,0.222829,-0.192031,-0.653994,0.009058,-0.230075,0.065218,0.570943,-0.485388,-1.672298,0.031661,-0.497112,0.112732,3.997037,0.2000,0.0000,0.4799
1.9000,0.585820,-2.578903,-2.332317,-0.652987,-2.260057,1.835244,0.228556,-0.196967,-0.670801,0.009291,-0.235988,0.066894,0.577313,-0.490786,-1.691844,0.033455,-0.494721,0.111709,4.027955,0.2000,0.0000,0.4799
1.9200,0.584580,-2.576809,-2.332792,-0.696154,-2.292448,1.889494,0.234347,-0.201958,-0.687800,0.009526,-0.241968,0.068589,0.579868,-0.498222,-1.707449,0.030587,-0.554985,0.133017,4.060385,0.2000,0.0000,0.4799
1.9400,0.583187,-2.574811,-2.327168,-0.729793,-2.356603,1.983950,0.240203,-0.207004,-0.704987,0.009764,-0.248015,0.070303,0.587889,-0.502378,-1.729472,0.035760,-0.499816,0.111916,4.124409,0.2000,0.0000,0.4799
1.9600,0.582024,-2.573343,-2.323648,-0.743703,-2.408367,2.041657,0.246123,-0.212106,-0.722360,0.010005,-0.254127,0.072036,0.594198,-0.507669,-1.748437,0.037264,-0.486113,0.112422,4.164208,0.2000,0.0000,0.4799
1.9800,0.580904,-2.572228,-2.322018,-0.741180,-2.410131,2.054047,0.252105,-0.217261,-0.739917,0.010248,-0.260303,0.073787,0.599868,-0.513450,-1.765817,0.036085,-0.508925,0.119022,4.155100,0.2000,0.0000,0.4799
2.0000,0.579914,-2.571174,-2.319273,-0.736284,-2.398882,2.057941,0.258148,-0.222469,-0.757654,0.010494,-0.266543,0.075556,0.606255,-0.518642,-1.783856,0.036060,-0.514038,0.121847,4.134368,0.2000,0.0000,0.4799
2.0200,0.579147,-2.570198,-2.316032,-0.734425,-2.387672,2.062025,0.264252,-0.227730,-0.775570,0.010742,-0.272846,0.077342,0.611720,-0.524151,-1.801016,0.035473,-0.534103,0.124667,4.114130,0.2000,0.0000,0.4799
2.0400,0.578589,-2.569384,-2.314225,-0.733374,-2.380433,2.065783,0.270417,-0.233042,-0.793662,0.010993,-0.279211,0.079146,0.617683,-0.529253,-1.818446,0.035586,-0.540736,0.126442,4.096525,0.2000,0.0000,0.4799
2.0600,0.578196,-2.568715,-2.312879,-0.733004,-2.375895,2.069911,0.276640,-0.238405,-0.811926,0.011246,-0.285636,0.080968,0.623538,-0.534275,-1.835605,0.035750,-0.546844,0.128034,4.080824,0.2000,0.0000,0.4799
2.0800,0.577977,-2.568164,-2.311802,-0.733049,-2.373131,2.074497,0.282920,-0.243818,-0.830360,0.011501,-0.292121,0.082806,0.629287,-0.539216,-1.852485,0.035945,-0.552572,0.129481,4.066461,0.2000,0.0000,0.4799
2.1000,0.577920,-2.567713,-2.310944,-0.733343,-2.371270,2.079198,0.289258,-0.249280,-0.848961,0.011758,-0.298665,0.084661,0.634930,-0.544077,-1.869072,0.036140,-0.558218,0.130865,4.052764,0.2000,0.0000,0.4799
2.1200,0.578004,-2.567342,-2.310271,-0.733781,-2.369735,2.083712,0.295652,-0.254790,-0.867727,0.012018,-0.305267,0.086532,0.640465,-0.548856,-1.885353,0.036320,-0.563967,0.132341,4.039248,0.2000,0.0000,0.4799
2.1400,0.578202,-2.567036,-2.309742,-0.734301,-2.368284,2.087931,0.302101,-0.260347,-0.886654,0.012281,-0.311925,0.088420,0.645896,-0.553550,-1.901332,0.036494,-0.569702,0.133794,4.025701,0.2000,0.0000,0.4799
2.1600,0.578490,-2.566783,-2.309320,-0.734878,-2.366845,2.091947,0.308604,-0.265951,-0.905739,0.012545,-0.318640,0.090323,0.651223,-0.558156,-1.917007,0.036663,-0.575374,0.135237,4.012105,0.2000,0.0000,0.4799
2.1800,0.578846,-2.566574,-2.308967,-0.735501,-2.365408,2.095846,0.315159,-0.271601,-0.924980,0.012811,-0.325408,0.092242,0.656444,-0.562671,-1.932379,0.036833,-0.580924,0.136610,3.998482,0.2000,0.0000,0.4799
2.2000,0.579257,-2.566401,-2.308665,-0.736162,-2.363979,2.099660,0.321767,-0.277295,-0.944372,0.013080,-0.332231,0.094176,0.661562,-0.567096,-1.947437,0.036993,-0.586394,0.138001,3.984838,0.2000,0.0000,0.4799
