t_sim,q1,q2,q3,q4,q5,q6,q7,q1_ref,q2_ref,q3_ref,q4_ref,q5_ref,q6_ref,q7_ref,tau1,tau2,tau3,tau4,tau5,tau6,tau7,gripper_cmd,tracking_error,ee_x,ee_y,ee_z
0.0900,0.000012,0.322692,0.000182,-1.591868,-0.005016,1.997134,-0.794807,0.000392,0.298532,0.002051,-1.584133,-0.006209,2.010986,-0.804685,0.000392,0.298532,0.002051,-1.584133,-0.006209,2.010986,-0.804685,0.0400,0.030628,0.6732,-0.0006,0.3541
0.0950,-0.000008,0.324243,0.000244,-1.593836,-0.005701,1.997815,-0.796986,0.000455,0.298293,0.002384,-1.586299,-0.007217,2.012769,-0.807832,0.000455,0.298293,0.002384,-1.586299,-0.007217,2.012769,-0.807832,0.0400,0.032841,0.6729,-0.0007,0.3521
0.1000,-0.000030,0.325740,0.000318,-1.595882,-0.006470,1.998738,-0.799461,0.000525,0.298033,0.002748,-1.588666,-0.008319,2.014718,-0.811270,0.000525,0.298033,0.002748,-1.588666,-0.008319,2.014718,-0.811270,0.0400,0.034989,0.6725,-0.0007,0.3502
0.1050,-0.000054,0.327177,0.000405,-1.598007,-0.007330,1.999914,-0.802242,0.000600,0.297750,0.003144,-1.591238,-0.009516,2.016836,-0.815007,0.000600,0.297750,0.003144,-1.591238,-0.009516,2.016836,-0.815007,0.0400,0.037064,0.6722,-0.0008,0.3482
0.1100,-0.000080,0.328544,0.000507,-1.600213,-0.008286,2.001349,-0.805337,0.000682,0.297444,0.003571,-1.594020,-0.010811,2.019127,-0.819049,0.000682,0.297444,0.003571,-1.594020,-0.010811,2.019127,-0.819049,0.0400,0.039064,0.6719,-0.0009,0.3464
0.1150,-0.000107,0.329835,0.000623,-1.602501,-0.009343,2.003045,-0.808753,0.000770,0.297114,0.004032,-1.597016,-0.012205,2.021593,-0.823402,0.000770,0.297114,0.004032,-1.597016,-0.012205,2.021593,-0.823402,0.0400,0.040987,0.6717,-0.0010,0.3445
0.1200,-0.000135,0.331044,0.000756,-1.604875,-0.010507,2.005003,-0.812493,0.000864,0.296761,0.004526,-1.600229,-0.013700,2.024239,-0.828069,0.000864,0.296761,0.004526,-1.600229,-0.013700,2.024239,-0.828069,0.0400,0.042836,0.6714,-0.0011,0.3427
0.1250,-0.000165,0.332164,0.000907,-1.607336,-0.011780,2.007219,-0.816562,0.000965,0.296383,0.005054,-1.603661,-0.015297,2.027065,-0.833056,0.000965,0.296383,0.005054,-1.603661,-0.015297,2.027065,-0.833056,0.0400,0.044615,0.6712,-0.0012,0.3409
0.1300,-0.000194,0.333191,0.001077,-1.609889,-0.013164,2.009689,-0.820962,0.001072,0.295981,0.005615,-1.607315,-0.016997,2.030073,-0.838364,0.001072,0.295981,0.005615,-1.607315,-0.016997,2.030073,-0.838364,0.0400,0.046329,0.6710,-0.0013,0.3392
0.1350,-0.000223,0.334120,0.001266,-1.612537,-0.014661,2.012407,-0.825693,0.001186,0.295554,0.006212,-1.611192,-0.018802,2.033266,-0.843997,0.001186,0.295554,0.006212,-1.611192,-0.018802,2.033266,-0.843997,0.0400,0.047988,0.6708,-0.0015,0.3375
0.1400,-0.000252,0.334949,0.001476,-1.615284,-0.016272,2.015364,-0.830758,0.001306,0.295103,0.006842,-1.615295,-0.020711,2.036643,-0.849957,0.001306,0.295103,0.006842,-1.615295,-0.020711,2.036643,-0.849957,0.0400,0.049599,0.6707,-0.0016,0.3359
0.1450,-0.000280,0.335675,0.001709,-1.618133,-0.017995,2.018553,-0.836156,0.001433,0.294627,0.007508,-1.619623,-0.022725,2.040207,-0.856245,0.001433,0.294627,0.007508,-1.619623,-0.022725,2.040207,-0.856245,0.0400,0.051172,0.6706,-0.0017,0.3343
0.1500,-0.000307,0.336295,0.001964,-1.621090,-0.019832,2.021966,-0.841886,0.001567,0.294126,0.008208,-1.624177,-0.024844,2.043957,-0.862862,0.001567,0.294126,0.008208,-1.624177,-0.024844,2.043957,-0.862862,0.0400,0.052716,0.6704,-0.0018,0.3327
