step,filename,x0_theta1,x0_theta2,x0_dtheta1,x0_dtheta2
0,qp_step_0000.npz,0.0,0.0,0.0,0.0
1,qp_step_0001.npz,0.0,0.0,-0.14054796553631008,1.4097534834004177
2,qp_step_0002.npz,-0.0028109593107262017,0.028195069668008357,0.18157412976765172,1.3389626964107624
