step,u_osqp_0,u_osqp_1,u_sho_0,u_sho_1,u_err_norm,obj_osqp,obj_sho
0,9.999999934210678,4.409931539831843,-1.875,-3.125,14.063812312010434,-532.4270400163234,18378.8923687828
1,9.999999145656481,3.060476880292704,-1.875,0.625,12.122176056458777,-619.4043249810269,15789.06113325253
2,9.99999072344788,3.2867407672112066,-5.0,2.5,15.020608600796258,-715.7549435350376,10994.694688138492
